id,event,community_solar_slg,pc01,pc03,pc05,pc08,pc09,pc13,start,stop
AK,0,0.0,3.209901835634116,1.720308244460011,2.4394312315930735,-0.9786967700221173,1.7816121897883088,2.000799205980041,0.0,1.0
AK,0,0.0,3.2234198322812184,1.7058361806876838,2.402650176548411,-0.9121226809482955,1.80966896929411,1.978694845921243,1.0,2.0
AK,0,0.0,3.1983268765305666,1.7242931280315332,2.4405505919570336,-0.9679047666031068,1.772899529480419,1.9466034632978413,2.0,3.0
AK,0,0.0,3.0934620302798463,1.3149699746093855,1.9835478126181545,-0.9065905304778129,1.7544273699663022,2.881302279395363,3.0,4.0
AK,0,0.0,3.0564613999022576,1.3643239736329267,1.9706924088635687,-0.9074558802379123,1.716583543085137,2.6119710364184456,4.0,5.0
AK,0,0.0,3.0811636931858013,1.6362679181577742,2.108264634225003,-1.1412203733325663,1.7074653436311553,1.4558301014842097,5.0,6.0
AK,0,0.0,2.900133476632492,0.7203832275881079,1.1803881480563734,-0.9956658899245393,1.6936927361493048,3.2456603814554987,6.0,7.0
AK,0,0.0,3.1041499237390764,1.3158110850593576,1.9595034955589021,-1.0907850271562922,1.758904946809461,2.0309492638181146,7.0,8.0
AK,0,0.0,2.8917949139330656,1.3377831419433859,1.7239071162721722,-1.156310849440893,1.558943497445397,1.2828287926485304,8.0,9.0
AK,0,0.0,2.944122610258125,1.335444961540355,1.779974991750932,-1.1922699898277525,1.6139283225850862,1.9389914090209415,9.0,10.0
AK,0,0.0,2.8840782875678554,1.5512827536603706,1.8432299287824234,-1.2319479569483571,1.5327629298092451,1.2497672745015127,10.0,11.0
AK,0,0.0,2.660288755039238,1.1455947135447655,1.250763176035966,-1.282769571578533,1.410283667067605,1.95955081421133,11.0,12.0
AK,0,0.0,2.572006672470087,0.9908283125717254,0.945001486462065,-1.4530172498862681,1.3601557398982382,2.2380403458858864,12.0,13.0
AK,0,0.0,2.50687207971037,0.8380847794713281,0.7233768698188061,-1.5129502052439578,1.351444406172392,2.9118682743874618,13.0,14.0
AK,0,0.0,2.5744852005771515,0.638143009358372,0.6084132748150308,-1.5731483989389972,1.4057404851915003,3.6570373662597198,14.0,15.0
AK,0,0.0,2.553866043520412,0.8482418841019851,0.7518951967601649,-1.566632171426802,1.3714766004304428,3.2687567191034175,15.0,16.0
AK,0,0.0,2.506943606364193,1.1766633116506209,0.9431365471195242,-1.5806162435711877,1.2958880709192795,2.0750568768875803,16.0,17.0
